artist_name,track_name,release_date,genre,lyrics
Grizzly Bear,Knife,2006,Indie,"Knife LyricsI want you to know, when I look in your eyes
With every blow, comes another lie
You think it's alright, you think it's alright
You think it's alright, you think it's alright

Can't you feel the knife?
Can't you feel the knife?
Can't you feel the knife?
Can't you feel the knife?You might also like8Embed"
Neutral Milk Hotel,"Holland, 1945",1998,Indie,"Holland, 1945 Lyrics[Intro]
Two, one, two, three, four

[Verse 1]
The only girl I've ever loved
Was born with roses in her eyes
But then they buried her alive
One evening, 1945
With just her sister at her side
And only weeks before the guns
All came and rained on everyone
Now she's a little boy in Spain
Playing pianos filled with flames
On empty rings around the sun
All sing to say my dream has come
[Chorus]
But now we must pack up every piece
Of the life we used to love
Just to keep ourselves
At least enough to carry on

[Verse 2]
And now we ride the circus wheel
With your dark brother wrapped in white
Says it was good to be alive
But now he rides a comet's flame
And won't be coming back again
The Earth looks better from a star
That's right above from where you are
He didn't mean to make you cry
With sparks that ring and bullets fly
On empty rings around your heart
The world just screams and falls apart

[Chorus]
But now we must pack up every piece
Of the life we used to love
Just to keep ourselves
At least enough to carry on

[Verse 3]
And here's where your mother sleeps
And here is the room where your brothers were born
Indentions in the sheets
Where their bodies once moved but don't move anymore
And it's so sad to see the world agree
That they'd rather see their faces filled with flies
All when I'd want to keep white roses in their eyesYou might also like47Embed"
The Strokes,Hard to Explain,2001,Indie,"Hard to Explain Lyrics[Verse 1]
Was an honest man
Asked me for the phone
Tried to take control

[Refrain]
Oh, I don't see it that way
I don't see it that way

[Verse 2]
We shared some ideas
All obsessed with fame
Says we're all the same
[Refrain]
Oh, I don't see it that way
I don't see it that way

[Pre-Chorus]
Raised in Carolina
I'm not like that
Tryin' to remind her
When we go back

[Chorus]
I missed the last bus, I'll take the next train
I'll try, but you see, it's hard to explain
I say the right thing, but act the wrong way
I like it right here, but I cannot stay
I watch the TV, forget what I'm told
Well, I am too young and they are too old
The joke is on you, this place is a zoo
You're right, it's true

[Verse 3]
He says he can't decide
I shake my head to say
""Everything's just great""

[Refrain]
Oh, I just can't remember
I just can't remember
You might also like[Pre-Chorus]
Raised in Carolina
She says, ""I'm not like that""
Tryin' to remind her
When we go back

[Chorus]
I say the right thing, but act the wrong way
I like it right here, but I cannot stay
I watch the TV, forget what I'm told
Well, I am too young and they are too old
Oh, man, can't you see I'm nervous, so please
Pretend to be nice so I can be mean
I missed the last bus, we'll take the next train
I'll try, but you see, it's hard to explain49Embed"
Arcade Fire,Neighborhood #1 (Tunnels),2004,Indie,"Neighborhood #1 (Tunnels) Lyrics[Verse 1]
And if the snow buries my
My neighborhood
And if my parents are crying
Then I'll dig a tunnel from my window to yours
Yeah, a tunnel from my window to yours

[Verse 2]
You climb out the chimney and meet me in the middle
The middle of the town
And since there's no one else around, we let our hair grow long
And forget all we used to know
Then our skin gets thicker from living out in the snow
[Chorus]
You change all the lead, sleeping in my head
As the day grows dim, I hear you sing a golden hymn

[Verse 3]
Then we tried to name our babies but we forgot all the names that...
The names we used to know
But sometimes we remember our bedrooms and our parent's bedrooms
And the bedrooms of our friends
Then we think of our parents, well, what ever happened to them?

[Chorus]
You change all the lead, sleeping in my head to gold
As the day grows dim, I hear you sing a golden hymn
It’s the song I’ve been trying to sing

[Outro]
Purify the colors, purify my mind
Purify the colors, purify my mind
And spread the ashes of the colors over this heart of mine!You might also like22Embed"
The National,Mistaken for Strangers,2007,Indie,"Mistaken for Strangers Lyrics[Verse 1]
You have to do it running
But you do everything that they ask you to
'Cause you don't mind seeing yourself in a picture
As long as you look far away
As long as you look removed

[Refrain]
Showered and blue-blazered
Fill yourself with quarters
Showered and blue-blazered
Fill yourself with quarters
[Chorus]
You get mistaken for strangers by your own friends
When you pass them at night
Under the silvery, silvery Citibank lights
Arm in arm in arm and eyes in eyes glazing under
Oh, you wouldn't want an angel watching over
Surprise, surprise, they wouldn't wanna watch
Another un-innocent, elegant fall
Into the un-magnificent lives of adults

[Verse 2]
Make up something to believe in your heart of hearts
So you have something to wear on your sleeve of sleeves
So you swear you just saw a feathery woman
Carry a blindfolded man through the trees

[Refrain]
Showered and blue-blazered
Fill yourself with quarters
Showered and blue-blazered
Fill yourself with quarters

[Chorus]
You get mistaken for strangers by your own friends
When you pass them at night
Under the silvery, silvery Citibank lights
Arm in arm in arm and eyes in eyes glazing under
Oh, you wouldn't want an angel watching over
Surprise, surprise, they wouldn't wanna watch
Another un-innocent, elegant fall
Into the un-magnificent lives of adults
You get mistaken for strangers by your own friends
When you pass them at night
Under the silvery, silvery Citibank lights
Arm in arm in arm and eyes in eyes glazing under
Oh, you wouldn't want an angel watching over
Surprise, surprise, they wouldn't wanna watch
Another un-innocent, elegant fall
Into the un-magnificent lives of adultsYou might also like16Embed"
Vampire Weekend,Diane Young,2013,Indie,"Diane Young Lyrics[Verse 1]
You torched a Saab like a pile of leaves
I'd gone to find some better wheels
Four, five meters runnin' 'round the bend
When the government agents surround you again

[Chorus]
If Diane Young won't change your mind
Baby, baby, baby, baby, right on time

[Verse 2]
Out of control but you're playing a role
Do you think you can go til the 18th hole
Or will you flip-flop the day of the championship?
Try to go a little long on your own for a bit
[Chorus]
If Diane Young won't change your mind
Baby, baby, baby, baby, right on time
[Bridge]
Baby, baby, baby, baby, right on
Baby, baby, baby, baby, right on
Baby, baby, baby, it’s a light on
Baby, baby, baby, it’s a lifetime
Baby, baby, baby, baby, right on
Time, time, time, time, t-time, time
Baby, baby, baby, baby, right on time
Ooh, you let 'em go
Di-Di, Di-Di-Di-Di

[Chorus]
If Diane Young won't change your mind
Baby, baby, baby, baby, right on time

[Verse 3]
Irish and proud, baby, naturally
But you got the luck of a Kennedy
So grab the wheel, keep on holdin' it tight
'Til you're tottering off into that goodnight

[Chorus]
If Diane Young won't change your mind
Baby, baby, baby, baby, right on time
You might also like[Bridge]
Baby, baby, baby, baby, right on
Baby, baby, baby, baby, right on
Baby, baby, baby, it’s a light on
Baby, baby, baby, it’s a lifetime
Baby, baby, baby, baby, right on
Time, time, time, time, t-time, time
Baby, baby, baby, baby, right on time

[Verse 4]
Nobody knows what the future holds
And it’s bad enough just getting old
Live my life in self-defense
You know I love the past, ’cause I hate suspense

[Chorus]
If Diane Young won't change your mind
Baby, baby, baby, baby, right on time35Embed"
The Shins,So Says I,2003,Indie,"So Says I Lyrics[Verse 1]
An address to the golden door
I was strumming on a stone again
Pulling teeth from the pimps of gore
When hatched a tragic opera in my mind
And it told of a new design
In which every soul is duty bound
To uphold all the statutes of boredom
Therein lies the fatal flaw of the red age

[Chorus 1]
Because it was nothing like we'd ever dreamt
Our lust for life had gone away with the rent we hated
Because it made no money
Nobody saved no one's life this time
[Verse 2]
So we burned all our uniforms
And let nature take its course again
And the big ones just eat all the little ones
Sent us back to the drawing board

[Bridge]
In our darkest hours
We have all asked for some
Angel to come
Sprinkle his dust all around
But all our crying voices, they can't turn it around
You've had some crazy conversations of your own

[Verse 3]
We got rules and maps and guns in our backs
But we still can't just behave ourselves
Even if to save our own lives (So says I)
We are a brutal kind, woah

[Chorus 2]
'Cause this is nothing like we'd ever dreamt
Tell Sir Thomas More we've got another failed attempt
'Cause if it makes them money
They might just give you life this timeYou might also like5Embed"
Beirut,Nantes,2007,Indie,"Nantes Lyrics[Verse: Zach Condon]
Well it's been a long time, long time now
Since I've seen you smile
And I'll gamble away my fright
And I'll gamble away my time
And in a year, a year or so
This will slip into the sea
Well, it's been a long time, long time now
Since I've seen you smile

[Chorus: Zach Condon]
Nobody raise your voices
Just another night in Nantes
Nobody raise your voices
Just another night in Nantes
[Bridge: Simone Simon & Fernand Ledoux]
...plaisanter
Oh non je t'en prie, nous ne sommes pas chez nous
Oh je t'assure que Victoire...
Non, laisse moi!
Mais qu'est-ce que tu as aujourd'hui?
J'ai que les hommes me dégoûtent, vous ne pensez qu'à ça

[Verse: Zach Condon]
Well it's been a long time, long time now
Since I've seen you smile
And I'll gamble away my fright
And I'll gamble away my time
And in a year, a year or so
This will slip into the sea
Well, it's been a long time, long time now
Since I've seen you smileYou might also like18Embed"
The Strokes,0.535416667,2003,Indie,"Talk to me now, I'm older, Your friend told you 'cause I told her, Friday nights have been lonely, Change your plans and then phone me"
Spoon,The Way We Get By,2002,Indie,"The Way We Get By Lyrics[Verse 1]
We get high in backseats of cars
We break into mobile homes
We go to sleep to ""Shake Appeal""
Never wake up on our own

[Chorus]
And that's the way we get by
It's the way we get by
Aw, that's the way we get by
It's the way we get by
[Verse 2]
We go out in stormy weather
We rarely practice discern
We make love to ""Some Weird Sin""
We seek out the taciturn

[Chorus]
And that's the way we get by
It's the way we get by
Aw, that's the way we get by
It's the way we get by
Well, that's the way we get by
It's the way we get by, it's the way
And that's the way we get by
That's the way we get by

[Verse 3]
We found a new kind of dance in a magazine
Tried it out, it's like nothing you ever seen
You sweet talk like a cop and you know it
You bought a new bag of pot, said, ""Let's make a new start""

[Chorus]
And that's the way to my heart
It's the way to my heart
And that's the way we get by
It's the way we get by
And that's the way we get by
It's the way we get by, it's the way
Well, that's the way we get by
That's the way we get by
You might also like[Verse 4]
We get high in backseats of cars
We put faith in our concerns
Fall in love to ""Down on the Street""
We believe in the sum of ourselves, I said

[Chorus]
That's the way we get by
It's the way we get by
Aw, that's the way we get by
It's the way we get by
And that's the way we get by
It's the way we get by, it's the way
And that's the way we get by
That's the way we get by3Embed"
Beach House,Myth,2012,Indie,"TranslationsEspañolMyth Lyrics[Verse 1]
Drifting in and out, you see the road you're on
It came rollin' down your cheek, you say just what you mean
And in-between, it's never as it seems

[Chorus]
Help me to name it
Help me to name it

[Verse 2]
If you built yourself a myth, you'd know just what to give
What comes after this momentary bliss?
The consequence of what you do to me
[Chorus]
Help me to name it
Help me to name it

[Bridge]
Found yourself in a new direction
Arrows fallin' from the sun
Canyon callin', would they come to greet you?
Let you know you're not the only one

[Verse 3]
Can't keep hangin' on to what is dead and gone
If you built yourself a myth, you'd know just what to give
Materialize or let the ashes fly

[Chorus]
Help me to name it
Help me to name itYou might also like50Embed"
The Strokes,Last Nite,2001,Indie,"Last Nite Lyrics[Verse 1]
Last night, she said
""Oh, baby, I feel so down
Oh, it turn me off
When I feel left out""
So I, I turned 'round
Oh, baby, don't care no more
I know this for sure
I'm walking out that door
Well, I've been in town for just 'bout fifteen, oh, minutes now
And, baby, I feel so down
And I don't know why
I keep walking for miles
[Chorus]
And see people, they don't understand
No, girlfriends, they can't understand
Your grandsons, they won't understand
On top of this, I ain't ever gonna understand

[Verse 2]
Last night, she said
""Oh, baby, don't feel so down
Oh, it turn me off
When I feel left out""
So I, I turned 'round
Oh, baby, gonna be alright
It was a great, big lie
'Cause I left that night, yeah

[Instrumental Bridge]

[Chorus]
Oh, people, they don't understand
No, girlfriends, they don't understand
In spaceships, they won't understand
And me, I ain't ever gonna understand

[Verse 1]
Last night, she said
""Oh, baby, I feel so down
See, it turn me off
When I feel left out""
So I, I turned 'round
Oh, little girl, I don't care no more
I know this for sure
I'm walking out that door, yeahYou might also like38Embed"
Tame Impala,Feels Like We Only Go Backwards,2012,Indie,"TranslationsEspañolFeels Like We Only Go Backwards Lyrics[Chorus]
It feels like I only go backwards, baby
Every part of me says, ""Go ahead""
I got my hopes up again, oh no, not again
Feels like we only go backwards, darling

[Verse 1]
I know that you think you sound silly when you call my name
But I hear it inside my head all day
When I realise I'm just holding on to the hope that maybe
Your feelings don't show
[Chorus]
It feels like I only go backwards, baby
Every part of me says, ""Go ahead""
I got my hopes up again, oh no, not again
Feels like we only go backwards, darling

[Verse 2]
The seed of all this indecision isn't me, oh no
'Cause I decided long ago
But that's the way it seems to go
When trying so hard to get to something real
It feels

[Chorus]
It feels like I only go backwards, darling
Every part of me says, ""Go ahead""
I got my hopes up again, oh no, not again
Feels like we only go backwards, darling
It feels like I only go backwards, baby
Every part of me says, ""Go ahead""
I got my hopes up again, oh no, not again
Feels like we only go backwards, darling
It feels like I only go backwards, baby
Every part of me says, ""Go ahead""
I got my hopes up again, oh no, not again
Feels like we only go backwards, darlingYou might also like78Embed"
